# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-160.0115047171667,115.0,0.031858067278138474,31.38922368609022,0.0,0.0
 0.06965649082456267,0.01213006678498096,0.1741412270614067,2.5000000000000004,-160.0115047171667,115.44,0.031858067278138474,31.38922368609022,0.0,0.0
 0.09903236248563013,0.02451852204871311,0.4217221332754821,8.42803607908596,-160.0338819485186,115.88,0.03012430723267424,33.195784131273,-0.7617554845720251,-25.93133212729812
 0.12192251284614515,0.03716274784679608,0.5523871883294383,5.70835285028754,-160.05548509816097,116.32,0.02854709076727661,35.029839227831054,-0.9437749120093812,-7.9518668322657895
 0.14150636192075372,0.05006012616011836,0.6585721869172475,5.42206989970543,-160.07637337737862,116.76,0.027109002276456524,36.888115239433745,-1.0666074446376257,-6.272134357259878
 0.15900696702085904,0.0632080389029314,0.7512833223540324,5.297595992050981,-160.0966005596559,117.2,0.025794933517378247,38.76730286303286,-1.1557990230387805,-5.09648540098868
 0.17504727124983932,0.07660386793003708,0.8351355956767459,5.22759868676407,-160.11621559953952,117.64,0.024591733010494648,40.66407192910093,-1.2228595919122431,-4.180754174992717
 0.18999473155137786,0.09024499504320038,0.912605007003044,5.1827808713647645,-160.13526316909739,118.08,0.023487914713550207,42.57508647300642,-1.2743013979382356,-3.4415081216638144
 0.20408704221178148,0.10412880199688371,0.9852044344078972,5.15170500809651,-160.15378412448663,118.52,0.022473416760212965,44.49701666060874,-1.3142596580188683,-2.8354654565561823
 0.21748808749300264,0.11825267050340996,1.0539378242619613,5.128957362033539,-160.17181591301653,118.96,0.021539397270246525,46.42655444130516,-1.3455508993151082,-2.3349851179212138
 0.2303162888183073,0.13261398223759488,1.1195109407782744,5.11163762194509,-160.1893929294444,119.4,0.02067806631769211,48.36042135837441,-1.3701855764618338,-1.9203531751666594
 0.2426603542739885,0.14721011884094407,1.1824416077307411,5.098050328589572,-160.2065468286605,119.84,0.019882540135633085,50.295384451799514,-1.3896474607708527,-1.5766186900816779
 0.25458865797631347,0.16203846192545088,1.243122530625757,5.087137652538837,-160.22330680095243,120.28,0.019146720230262204,52.2282661455228,-1.4050591526013971,-1.2920271159377468
 0.26615513752474607,0.17709639307704128,1.3018594887526467,5.078205333000336,-160.2396998149085,120.72,0.018465191460861893,54.15595078553945,-1.417286382378759,-1.0571263041760146
 0.27740316786851793,0.19238129385872285,1.3588957634831558,5.070778881930257,-160.2557508323899,121.16,0.017833132824355415,56.07539683853307,-1.4270069506250993,-0.8642018157181302
 0.28836819922693285,0.20789054581346006,1.4144284177386235,5.064523067948196,-160.2714829991821,121.60000000000001,0.017246242210442384,57.98364581673986,-1.4347580301378067,-0.7068907748046473
 0.29907960844350145,0.2236215304667953,1.4686195191760836,5.059194391867347,-160.2869178145242,122.04,0.016700673657688406,59.87782412236018,-1.440969626874446,-0.5799047175820202
 0.30956203212233585,0.23957162932927517,1.5216041014145927,5.05461178272092,-160.30207528220726,122.48,0.016192979170057888,61.755158794317474,-1.4459888426041296,-0.47882206286108747
 0.31983634808988115,0.25573822389867906,1.5734959505305492,5.050637850721499,-160.3169740455324,122.92,0.01572006400459018,63.61297254947594,-1.4500978334907508,-0.3999284136871776
 0.3299204120160308,0.2721186956620688,1.6243919002647826,5.047166510145958,-160.33163150807593,123.36,0.015279142980323752,65.44869704326904,-1.45352733291589,-0.3400910040093951
 0.33982961972006454,0.2887104260977092,1.6743750793402354,5.044114581946455,-160.34606394205997,123.80000000000001,0.014867705237347062,67.25987528243708,-1.4564669966684407,-0.2966598178534522
 0.349577342902441,0.3055107966768271,1.7235174065562673,5.041415959049729,-160.36028658571277,124.24000000000001,0.014483484567671968,69.04415821535528,-1.4590734048039447,-0.26738635132932514
 0.35917527134549143,0.32251718886526853,1.771881535619831,5.039017466168213,-160.374313730954,124.68,0.014124430517625127,70.79931461676654,-1.4614763304862952,-0.25035878279447993
 0.36863368490958315,0.33972698412504465,1.8195223906376903,5.036875866659592,-160.3881588025068,125.12,0.013788684812614907,72.52323289637647,-1.4637836946975544,-0.24394833188718484
 0.37796167208634895,0.35713756391577206,1.8664883924898357,5.034955662152766,-160.40183442938158,125.56,0.013474560366399713,74.2139240767817,-1.4660855140134674,-0.2467648456514155
 0.38716730734711363,0.374746309696036,1.9128224485836574,5.033227450505452,-160.41535250963142,126.0,0.0131805249263351,75.86951245029466,-1.468457077313744,-0.25762081954130756
 0.39625779635215524,0.3925506029246655,1.9585627592481725,5.031666683623664,-160.4287242690364,126.44000000000001,0.01290518409579418,77.48823980945004,-1.4709615068634123,-0.27549998116483937
 0.4052395958254568,0.41054782506194915,2.003743480444031,5.030252716079687,-160.44196031448652,126.88000000000001,0.012647264880152949,79.06847919104439,-1.4736518544492738,-0.2995332498636368
 0.41411851326439536,0.4287353575707832,2.0483952727246364,5.028968068199947,-160.45507068248915,127.32000000000001,0.01240560704029422,80.60871158919792,-1.4765728021251214,-0.32897565451368427
 0.4228997904552596,0.44711058191775643,2.092545759299141,5.027797849319407,-160.46806488342907,127.76,0.012179148227131698,82.10754819226872,-1.4797620730430838,-0.3631898696103448
 0.4315881738760674,0.4656708795741967,2.1362199108283204,5.026729302091344,-160.48095194196262,128.20000000000002,0.011966919132140262,83.56369663385131,-1.4832515911597253,-0.4016303088425675
