# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-37.35802749405035,-90.0,0.20447793184017132,4.890503297840682,0.0,0.0
 0.09319482289133536,0.021713187534368416,0.23298705722833843,2.5000000000000004,-37.35802749405035,-90.36,0.20447793184017132,4.890503297840682,0.0,0.0
 0.13139117786514826,0.04315910405197758,0.5614650018912094,8.599719656183757,-37.61084774234072,-90.72,0.21036249005915503,4.7536991966523825,-6.618962685410804,-173.28780952917393
 0.16042409034403254,0.06433972190677581,0.7295381705229521,5.789056428767963,-37.86773427004108,-91.08,0.21644797883816239,4.620047760980468,-8.848114287094063,-76.78015780554317
 0.1846694539065457,0.08525701801535457,0.8627338606264465,5.493656127699161,-38.12877430766773,-91.44,0.2227420415262243,4.48949822470881,-10.766596135116485,-79.12778222837917
 0.20582805831575046,0.10591297397508,0.9762437805557416,5.3647167712022705,-38.39405718483159,-91.8,0.22925262336664576,4.362000248087417,-12.537824897773001,-83.71198442019967
 0.22477506639776995,0.1263095761853048,1.0765078117838018,5.291813398401923,-38.663674373981436,-92.16,0.23598798222159173,4.23750392111495,-14.230066719911882,-89.31446140801505
 0.24203207718955302,0.14644881597172446,1.1670178589683073,5.244827639999036,-38.93771953392361,-92.52,0.24295669973855902,4.115959761867364,-15.880221855842287,-95.62230422409698
 0.2579400625834663,0.16633268971390638,1.24993034943255,5.212004437467404,-39.21628855303183,-92.88,0.25016769259028265,3.9973187170805895,-17.51126947946517,-102.530118254129
 0.27273664878490317,0.18596319897604918,1.3266917784209251,5.187779663725473,-39.49947959197164,-93.24,0.2576302237970877,3.88153216366264,-19.138944286508163,-110.00340111457137
 0.2865954295804497,0.2053423506410064,1.398330195913383,5.169171700549485,-39.78739312574078,-93.6,0.2653539144037526,3.76855190641144,-20.77480970488064,-118.03819127423954
 0.2996478980721354,0.22447215704762224,1.465608319131465,5.154436745887399,-40.080131984853146,-93.96000000000001,0.27334875491438865,3.6583301808460575,-22.427854110418984,-126.64611346055466
 0.3119965616037354,0.24335463613138383,1.5291111491896787,5.142486058973992,-40.37780139552209,-94.32000000000001,0.28162511693149084,3.5508196530754166,-24.105394879957302,-135.84796162317673
 0.3237232222553402,0.2619918115684512,1.5892994596476886,5.13260443413385,-40.680509018468655,-94.68,0.29019376487493803,3.445973418591403,-25.81362520327911,-145.67065374131292
 0.33489443884486814,0.280385712923048,1.64654415275052,5.124302500454031,-40.988364986277475,-95.04,0.29906586737151636,3.343745004366359,-27.55796249599247,-156.14568733261626
 0.3455652620262879,0.2985383757982427,1.701149252177891,5.117234022062181,-41.30148193888789,-95.4,0.30825300867022837,3.244088368557688,-29.34328001569903,-167.30832189358975
 0.35578186687357616,0.3164518419901179,1.7533678222496638,5.111147083821382,-41.61997505697354,-95.76,0.3177671997359764,3.146957901353164,-31.17406641896172,-179.1971433395144
 0.36558345676210036,0.3341281596453165,1.8034133090891946,5.105853989884292,-41.94396209290179,-96.12,0.3276208891928284,3.0523084241170846,-33.05453907101134,-191.85383937062036
 0.3750036711403957,0.35156938342193533,1.8514678197562409,5.101212004024708,-42.27356339888439,-96.48,0.3378269735560199,2.960095191552772,-34.98872666231624,-205.3230970795499
 0.38407164678156563,0.36877757465375954,1.897688294804903,5.097110631706408,-42.60890195188893,-96.84,0.34839880723148287,2.8702738908505525,-36.980530856528695,-219.65257440363797
 0.39281283152043817,0.38575480151776065,1.9422111957550146,5.093462989303473,-42.95010337498063,-97.2,0.3593502116531069,2.7828006428596024,-39.03377325665734,-234.8929191483343
 0.40124961767200135,0.4025031392048184,1.985156122981094,5.090199805304113,-43.297295954557704,-97.56,0.3706954836563856,2.697632002786808,-41.15223182618561,-251.09781514798303
 0.40940184176116234,0.41902467009357974,2.026628648582904,5.087265162025036,-43.65061065297053,-97.92,0.3824494030293971,2.6147249599004723,-43.33966958569919,-268.3240469827055
 0.4172871835689912,0.4353214839273526,2.066722563325383,5.084613415574779,-44.010181116050894,-98.28,0.3946272387431356,2.534036938719539,-45.59985753862669,-286.63157641226167
 0.4249214882746822,0.45139567799392744,2.105521679609192,5.082206930368664,-44.37614367488218,-98.64,0.4072447539248053,2.4555257995653457,-47.93659317245718,-306.083621746008
 0.4323190291015109,0.4672493573081828,2.1431012934404823,5.0800143873488475,-44.74863734119525,-99.0,0.4203182093032288,2.3791498390177366,-50.35371551612654,-326.7467392546424
 0.43949272339700646,0.4828846347972944,2.179529381246299,5.078009503233255,-45.12780379577888,-99.36000000000001,0.4338643648481789,2.304867790536168,-52.85511745624862,-348.6909027741425
 0.4464543118789991,0.4983036314883768,2.214867588190019,5.076170048707745,-45.51378736904216,-99.72,0.4479004792934019,2.232638825431887,-55.44475578550599,-371.989573350383
 0.45321450846075934,0.5135084766983196,2.2491720508493933,5.074477087239103,-45.906735013018576,-100.08000000000001,0.46244430744284765,2.162422553171092,-58.12665936914298,-396.7197626875313
 0.45978312636527324,0.5285013082255624,2.2824940870650856,5.0729143786539375,-46.30679626396596,-100.44000000000001,0.4775140946833662,2.094179022428831,-60.904935674894546,-422.9620821516125
 0.4661691849719468,0.5432842725435233,2.314880778343056,5.071467907313819,-46.71412319459676,-100.80000000000001,0.4931285685786183,2.027868721705529,-63.783775833990845,-450.80077343603574
